"","logFC","logCPM","F","PValue","FDR"
"NTRK2",-1.84067614298553,14.4601151410352,182.879121219065,1.04556173321844e-05,0.000386857841290823
"CADM2",-0.764963746787752,14.9977555681963,134.695771110577,2.47127063852121e-05,0.000457185068126423
"BDNF",-0.714210877811646,14.9983427145449,106.548244936771,4.846102584432e-05,0.00059768598541328
"SIM1",1.6939137473315,14.663228849062,83.0982483845724,9.87644800085587e-05,0.00086662579517072
"UBR2",1.6611482344963,16.0079948443192,78.0143349260484,0.000117111593941989,0.00086662579517072
"LEP",-0.994208672201263,15.1892119792954,53.9468110300835,0.000326441418650243,0.00201305541500983
"MC4R",1.48720057237514,15.0070628462935,47.2352691543868,0.000469002136099971,0.00247901129081413
"FTO",3.4570034133176,15.6368247601866,38.9007046798149,0.000796878949204098,0.00368556514006895
"UHMK1",-0.960894740769104,14.1691046780414,30.9984745398107,0.00143333777851128,0.00589261086721305
"PCSK1",0.316060775367698,14.9379505826661,7.86171826563049,0.0310181121616277,0.114767014998022
"KIAA1109",0.353717475773197,13.7382398235012,5.09178577057958,0.0649833503430142,0.218580360244684
"PHIP",0.821500207593847,13.6603251608563,4.26882347065375,0.0845467870481886,0.260685926731915
"MRAP2",-0.998729351710276,14.9594956561992,3.01211810715271,0.133356488135585,0.376032916804678
"NRP2",0.369830516014149,14.9135968513012,2.8513338220416,0.142282725277446,0.376032916804678
"CREBRF",0.302221152357519,14.2915528417567,2.44871448218985,0.168707300171668,0.414226823822563
"GIPR",-0.515187039142849,14.8331844552349,2.31316002548261,0.179125113004352,0.414226823822563
"TMEM18",-0.432241761602637,13.5651670056563,1.72656890452925,0.23707669551067,0.487480935314913
"AGRP",-0.137733010293112,14.5667165521578,1.61575881014564,0.250768658147993,0.487480935314913
"ADCY3",0.0997096047267973,14.5613076308731,1.56433029279266,0.257624470654252,0.487480935314913
"GPR151",0.107180321971637,15.5204285180944,1.43563881129822,0.27602941440328,0.487480935314913
"LEPR",-0.776926068511692,13.2115016205902,1.43237283895252,0.277048049964536,0.487480935314913
"KSR2",-0.427570661127921,15.5039510532752,1.34726421339417,0.289853529106164,0.487480935314913
"NRP1",0.387957346413049,14.1316994585515,1.20915529118494,0.313704960637745,0.494874507302901
"ROBO1",-0.381748231647936,13.9537841100925,1.12211688421205,0.330314280261019,0.494874507302901
"PPARG",0.192300818889526,14.6065200667414,1.06105070808213,0.342721556900134,0.494874507302901
"CALCR",0.0672815947579971,14.5607151156876,1.03740384842624,0.347749653780417,0.494874507302901
"ANO4",0.0683553710964183,14.5756502477475,0.835816252980509,0.395870815455728,0.542489635994886
"GPR75",-0.0667412968135083,14.8797193346927,0.479641620906671,0.514491981725472,0.653995791452788
"PDE3B",0.132767428771791,14.8072510061603,0.472633962293563,0.517468252815208,0.653995791452788
"POMC",-0.0895812540782847,15.0956445524788,0.443353661722136,0.530266857934693,0.653995791452788
"SPARC",-0.0480367568277058,15.0861494544696,0.347636204202559,0.576972728655169,0.682153858353692
"ANKRD27",0.0354897321099322,14.5604882132689,0.292008837647096,0.608407495288428,0.682153858353692
"CADM1",0.0354897321099322,14.5604882132689,0.292008837647096,0.608407495288428,0.682153858353692
"SH2B1",-0.0725687418192906,14.909536284533,0.099133476402918,0.763538054320087,0.830909059113036
"CNR1",-0.0104689935442904,15.2256955229424,0.00723865103675689,0.934966159611766,0.962738548293047
"KIAA0586",-0.0183345248135534,13.8505907932225,0.00337030504230929,0.955594558033893,0.962738548293047
"DPP9",-0.00682155561236761,14.9629669724859,0.00237182142821114,0.962738548293047,0.962738548293047
